行号,预测,标签
179,"图中展示的物品是[medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine, medicine","图中展示的物品是红花油,根据垃圾分类的标准，应该属于有害垃圾
"
180,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是板栗,根据垃圾分类的标准，应该属于厨余垃圾
"
181,图中展示的物品是蛋糕，根据垃圾分类的标准，应该属于厨余垃圾,"图中展示的物品是蛋挞,根据垃圾分类的标准，应该属于厨余垃圾
"
182,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是玩偶,根据垃圾分类的标准，应该属于可回收物
"
183,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}厨余垃圾。","图中展示的物品是白菜,根据垃圾分类的标准，应该属于厨余垃圾
"
184,图中展示的物品是玻璃杯，根据垃圾分类的标准，应该属于废塑料,"图中展示的物品是量杯,根据垃圾分类的标准，应该属于可回收物
"
185,图中展示的物品是剪刀，根据垃圾分类的标准，应该属于有害垃圾。,"图中展示的物品是剪刀,根据垃圾分类的标准，应该属于可回收物
"
186,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是巴旦木,根据垃圾分类的标准，应该属于厨余垃圾
"
187,图中展示的物品是手提袋，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是购物纸袋,根据垃圾分类的标准，应该属于可回收物
"
188,图中展示的物品是{wood}，根据垃圾分类的标准，应该属于{wood},"图中展示的物品是木制切菜板,根据垃圾分类的标准，应该属于可回收物
"
189,图中展示的物品是{toy}，根据垃圾分类的标准，应该属于{garbage_type},"图中展示的物品是玩偶,根据垃圾分类的标准，应该属于可回收物
"
190,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是搓衣板,根据垃圾分类的标准，应该属于可回收物
"
191,图中展示的物品是牛奶，根据垃圾分类的标准，应该属于食品垃圾,"图中展示的物品是奶盒,根据垃圾分类的标准，应该属于可回收物
"
192,图中展示的物品是塑料容器，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是骨肉相连,根据垃圾分类的标准，应该属于厨余垃圾
"
193,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是耳钉耳环,根据垃圾分类的标准，应该属于可回收物
"
194,图中展示的物品是塑料瓶，根据垃圾分类的标准，应该属于其他垃圾。,"图中展示的物品是滴眼液瓶,根据垃圾分类的标准，应该属于有害垃圾
"
195,图中展示的物品是烟灰缸，根据垃圾分类的标准，应该属于垃圾类型{garbage_type},"图中展示的物品是烟灰缸,根据垃圾分类的标准，应该属于可回收物
"
196,图中展示的物品是锅，根据垃圾分类的标准，应该属于{garbage_type}厨余垃圾,"图中展示的物品是碗,根据垃圾分类的标准，应该属于可回收物
"
197,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是打印机墨盒,根据垃圾分类的标准，应该属于可回收物
"
198,图中展示的物品是电水壶，根据垃圾分类的标准，应该属于家用电器。,"图中展示的物品是烧水壶,根据垃圾分类的标准，应该属于可回收物
"
199,图中展示的物品是坚果，根据垃圾分类的标准，应该属于可回收垃圾。,"图中展示的物品是巴旦木,根据垃圾分类的标准，应该属于厨余垃圾
"
200,图中展示的物品是[food_box]，根据垃圾分类的标准，应该属于[厨余垃圾],"图中展示的物品是碗,根据垃圾分类的标准，应该属于可回收物
"
201,图中展示的物品是玻璃瓶，根据垃圾分类的标准，应该属于玻璃制品。,"图中展示的物品是罐头瓶,根据垃圾分类的标准，应该属于可回收物
"
202,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是菠萝包,根据垃圾分类的标准，应该属于厨余垃圾
"
203,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是杀虫剂,根据垃圾分类的标准，应该属于有害垃圾
"
204,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是玩偶,根据垃圾分类的标准，应该属于可回收物
"
205,图中展示的物品是杏仁，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是巴旦木,根据垃圾分类的标准，应该属于厨余垃圾
"
206,"图中展示的物品是[wood_object],根据垃圾分类的标准，应该属于[wood]","图中展示的物品是乒乓球拍,根据垃圾分类的标准，应该属于可回收物
"
207,图中展示的物品是[玻璃容器]，根据垃圾分类的标准，应该属于[其他垃圾]。,"图中展示的物品是碗,根据垃圾分类的标准，应该属于可回收物
"
208,图中展示的物品是杯子，根据垃圾分类的标准，应该属于厨余垃圾。,"图中展示的物品是奶茶杯,根据垃圾分类的标准，应该属于其他垃圾
"
209,图中展示的物品是肉，根据垃圾分类的标准，应该属于厨余垃圾,"图中展示的物品是生肉,根据垃圾分类的标准，应该属于厨余垃圾
"
210,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是碗,根据垃圾分类的标准，应该属于可回收物
"
211,"图中展示的物品是[none],根据垃圾分类的标准，应该属于[none]","图中展示的物品是地球仪,根据垃圾分类的标准，应该属于可回收物
"
212,图中展示的物品是尺子，根据垃圾分类的标准，应该属于可回收垃圾。,"图中展示的物品是尺子,根据垃圾分类的标准，应该属于可回收物
"
213,图中展示的物品是打包带，根据垃圾分类的标准，应该属于其他垃圾。,"图中展示的物品是PE塑料袋,根据垃圾分类的标准，应该属于其他垃圾
"
214,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}废弃物。","图中展示的物品是杀虫剂,根据垃圾分类的标准，应该属于有害垃圾
"
215,图中展示的物品是饼干，根据垃圾分类的标准，应该属于垃圾食品。,"图中展示的物品是饼干,根据垃圾分类的标准，应该属于厨余垃圾
"
216,图中展示的物品是牛肉，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是生肉,根据垃圾分类的标准，应该属于厨余垃圾
"
217,图中展示的物品是台灯，根据垃圾分类的标准，应该属于可回收物,"图中展示的物品是台灯,根据垃圾分类的标准，应该属于可回收物
"
218,"图中展示的物品是袋鼠,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是贝果,根据垃圾分类的标准，应该属于厨余垃圾
"
219,"图中展示的物品是[phone],根据垃圾分类的标准，应该属于[电子废弃物]","图中展示的物品是手机,根据垃圾分类的标准，应该属于可回收物
"
220,图中展示的物品是香薰机，根据垃圾分类的标准，应该属于家用电器,"图中展示的物品是空气加湿器,根据垃圾分类的标准，应该属于可回收物
"
221,"图中展示的物品是[spoon],[spoon],[spoon]，根据垃圾分类的标准，应该属于[厨余垃圾]","图中展示的物品是勺子,根据垃圾分类的标准，应该属于可回收物
"
222,图中展示的物品是锅，根据垃圾分类的标准，应该属于厨余垃圾,"图中展示的物品是锅,根据垃圾分类的标准，应该属于可回收物
"
223,图中展示的物品是坚果，根据垃圾分类的标准，应该属于其他垃圾,"图中展示的物品是干果壳,根据垃圾分类的标准，应该属于其他垃圾
"
224,图中展示的物品是{garbage_box}，根据垃圾分类的标准，应该属于{garbage_paper},"图中展示的物品是纸箱,根据垃圾分类的标准，应该属于可回收物
"
225,图中展示的物品是烟蒂，根据垃圾分类的标准，应该属于可回收物,"图中展示的物品是烟蒂,根据垃圾分类的标准，应该属于其他垃圾
"
226,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是鸡翅,根据垃圾分类的标准，应该属于厨余垃圾
"
227,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是红花油,根据垃圾分类的标准，应该属于有害垃圾
"
